selection_id,selection_name,layer,k,alpha,scenario_id,control_type,target,normal_margin,patched_margin,delta_toward_no,normal_decision,patched_decision,yes_to_no_flip,patched_no,normal_yes_logit,normal_no_logit,patched_yes_logit,patched_no_logit,num_layers_patched,num_neurons_patched
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102559,ci_top_neurons,actual_ci_D_same_prompt,1.28125,0.1875,1.09375,Yes,Yes,False,False,35.09375,33.8125,34.6875,34.5,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102596,ci_top_neurons,actual_ci_D_same_prompt,0.15625,-0.21875,0.375,Yes,No,True,True,35.25,35.09375,35.3125,35.53125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102600,ci_top_neurons,actual_ci_D_same_prompt,1.28125,0.125,1.15625,Yes,Yes,False,False,35.84375,34.5625,35.40625,35.28125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102646,ci_top_neurons,actual_ci_D_same_prompt,1.59375,0.3125,1.28125,Yes,Yes,False,False,36.59375,35.0,36.0625,35.75,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102648,ci_top_neurons,actual_ci_D_same_prompt,2.65625,0.8125,1.84375,Yes,Yes,False,False,37.9375,35.28125,37.15625,36.34375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102663,ci_top_neurons,actual_ci_D_same_prompt,1.59375,0.1875,1.40625,Yes,Yes,False,False,36.53125,34.9375,35.75,35.5625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102704,ci_top_neurons,actual_ci_D_same_prompt,0.0625,-0.5,0.5625,Yes,No,True,True,35.4375,35.375,35.3125,35.8125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102734,ci_top_neurons,actual_ci_D_same_prompt,1.5,0.34375,1.15625,Yes,Yes,False,False,37.125,35.625,36.8125,36.46875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102761,ci_top_neurons,actual_ci_D_same_prompt,0.59375,-0.625,1.21875,Yes,No,True,True,34.84375,34.25,34.40625,35.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102770,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-0.15625,0.6875,Yes,No,True,True,34.96875,34.4375,34.96875,35.125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102782,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.125,0.3125,Yes,No,True,True,34.03125,33.84375,34.09375,34.21875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102833,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-0.0625,0.59375,Yes,No,True,True,36.15625,35.625,36.21875,36.28125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102946,ci_top_neurons,actual_ci_D_same_prompt,0.75,-0.375,1.125,Yes,No,True,True,35.09375,34.34375,34.65625,35.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102969,ci_top_neurons,actual_ci_D_same_prompt,0.4375,-0.15625,0.59375,Yes,No,True,True,34.15625,33.71875,34.03125,34.1875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103124,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-0.375,0.90625,Yes,No,True,True,33.96875,33.4375,33.65625,34.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103156,ci_top_neurons,actual_ci_D_same_prompt,1.28125,0.09375,1.1875,Yes,Yes,False,False,35.4375,34.15625,35.09375,35.0,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103239,ci_top_neurons,actual_ci_D_same_prompt,0.375,-0.25,0.625,Yes,No,True,True,34.53125,34.15625,34.5625,34.8125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103354,ci_top_neurons,actual_ci_D_same_prompt,0.25,-0.40625,0.65625,Yes,No,True,True,35.84375,35.59375,35.84375,36.25,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103377,ci_top_neurons,actual_ci_D_same_prompt,0.90625,0.21875,0.6875,Yes,Yes,False,False,35.84375,34.9375,35.65625,35.4375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103382,ci_top_neurons,actual_ci_D_same_prompt,0.375,-0.71875,1.09375,Yes,No,True,True,36.0,35.625,35.65625,36.375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103470,ci_top_neurons,actual_ci_D_same_prompt,0.875,0.09375,0.78125,Yes,Yes,False,False,34.59375,33.71875,34.40625,34.3125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103582,ci_top_neurons,actual_ci_D_same_prompt,1.46875,0.03125,1.4375,Yes,Yes,False,False,37.03125,35.5625,36.3125,36.28125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103628,ci_top_neurons,actual_ci_D_same_prompt,0.625,-0.1875,0.8125,Yes,No,True,True,35.0625,34.4375,34.78125,34.96875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103671,ci_top_neurons,actual_ci_D_same_prompt,0.375,-1.15625,1.53125,Yes,No,True,True,34.71875,34.34375,34.125,35.28125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103672,ci_top_neurons,actual_ci_D_same_prompt,1.4375,0.21875,1.21875,Yes,Yes,False,False,36.59375,35.15625,36.21875,36.0,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103691,ci_top_neurons,actual_ci_D_same_prompt,0.28125,-0.03125,0.3125,Yes,No,True,True,34.9375,34.65625,35.09375,35.125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103766,ci_top_neurons,actual_ci_D_same_prompt,0.78125,-0.15625,0.9375,Yes,No,True,True,35.1875,34.40625,34.78125,34.9375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103792,ci_top_neurons,actual_ci_D_same_prompt,0.25,-0.09375,0.34375,Yes,No,True,True,35.1875,34.9375,35.3125,35.40625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103847,ci_top_neurons,actual_ci_D_same_prompt,0.84375,-0.125,0.96875,Yes,No,True,True,34.875,34.03125,34.75,34.875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103920,ci_top_neurons,actual_ci_D_same_prompt,2.9375,0.78125,2.15625,Yes,Yes,False,False,38.4375,35.5,37.40625,36.625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103971,ci_top_neurons,actual_ci_D_same_prompt,0.65625,-0.4375,1.09375,Yes,No,True,True,34.96875,34.3125,34.71875,35.15625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,103998,ci_top_neurons,actual_ci_D_same_prompt,1.5625,0.0625,1.5,Yes,Yes,False,False,36.1875,34.625,35.6875,35.625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104043,ci_top_neurons,actual_ci_D_same_prompt,0.6875,-0.375,1.0625,Yes,No,True,True,35.4375,34.75,35.21875,35.59375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104083,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.59375,0.78125,Yes,No,True,True,33.9375,33.75,33.78125,34.375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104114,ci_top_neurons,actual_ci_D_same_prompt,0.6875,-0.5,1.1875,Yes,No,True,True,35.25,34.5625,34.96875,35.46875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104217,ci_top_neurons,actual_ci_D_same_prompt,0.3125,-0.3125,0.625,Yes,No,True,True,33.96875,33.65625,33.71875,34.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104248,ci_top_neurons,actual_ci_D_same_prompt,0.5,-0.46875,0.96875,Yes,No,True,True,34.96875,34.46875,34.6875,35.15625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104384,ci_top_neurons,actual_ci_D_same_prompt,0.65625,-1.21875,1.875,Yes,No,True,True,36.09375,35.4375,35.65625,36.875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104463,ci_top_neurons,actual_ci_D_same_prompt,1.40625,0.09375,1.3125,Yes,Yes,False,False,36.375,34.96875,35.78125,35.6875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104514,ci_top_neurons,actual_ci_D_same_prompt,1.1875,-1.0625,2.25,Yes,No,True,True,34.375,33.1875,33.53125,34.59375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104537,ci_top_neurons,actual_ci_D_same_prompt,0.65625,0.03125,0.625,Yes,Yes,False,False,35.03125,34.375,34.875,34.84375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104606,ci_top_neurons,actual_ci_D_same_prompt,1.0,0.3125,0.6875,Yes,Yes,False,False,35.375,34.375,35.40625,35.09375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104688,ci_top_neurons,actual_ci_D_same_prompt,1.3125,0.09375,1.21875,Yes,Yes,False,False,35.75,34.4375,35.3125,35.21875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104689,ci_top_neurons,actual_ci_D_same_prompt,0.75,-1.15625,1.90625,Yes,No,True,True,34.40625,33.65625,33.625,34.78125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104828,ci_top_neurons,actual_ci_D_same_prompt,0.34375,-0.125,0.46875,Yes,No,True,True,34.21875,33.875,34.1875,34.3125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,104957,ci_top_neurons,actual_ci_D_same_prompt,1.1875,0.09375,1.09375,Yes,Yes,False,False,35.9375,34.75,35.59375,35.5,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105160,ci_top_neurons,actual_ci_D_same_prompt,0.25,-0.4375,0.6875,Yes,No,True,True,35.75,35.5,35.53125,35.96875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105315,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.5,0.6875,Yes,No,True,True,33.875,33.6875,33.65625,34.15625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105478,ci_top_neurons,actual_ci_D_same_prompt,0.0625,-0.625,0.6875,Yes,No,True,True,34.40625,34.34375,34.3125,34.9375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105569,ci_top_neurons,actual_ci_D_same_prompt,0.15625,-0.1875,0.34375,Yes,No,True,True,33.34375,33.1875,33.28125,33.46875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105659,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.40625,0.59375,Yes,No,True,True,34.6875,34.5,34.59375,35.0,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105724,ci_top_neurons,actual_ci_D_same_prompt,0.75,-0.0625,0.8125,Yes,No,True,True,34.25,33.5,34.03125,34.09375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105789,ci_top_neurons,actual_ci_D_same_prompt,0.46875,-0.46875,0.9375,Yes,No,True,True,34.9375,34.46875,34.75,35.21875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105796,ci_top_neurons,actual_ci_D_same_prompt,1.09375,0.28125,0.8125,Yes,Yes,False,False,36.25,35.15625,35.9375,35.65625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105798,ci_top_neurons,actual_ci_D_same_prompt,0.65625,-0.46875,1.125,Yes,No,True,True,33.875,33.21875,33.375,33.84375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,105953,ci_top_neurons,actual_ci_D_same_prompt,0.71875,-0.0625,0.78125,Yes,No,True,True,34.15625,33.4375,34.0625,34.125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106145,ci_top_neurons,actual_ci_D_same_prompt,0.28125,-1.25,1.53125,Yes,No,True,True,34.21875,33.9375,33.59375,34.84375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106278,ci_top_neurons,actual_ci_D_same_prompt,1.0625,-0.03125,1.09375,Yes,No,True,True,36.6875,35.625,36.28125,36.3125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106314,ci_top_neurons,actual_ci_D_same_prompt,0.4375,-0.25,0.6875,Yes,No,True,True,34.6875,34.25,34.625,34.875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106566,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.21875,0.40625,Yes,No,True,True,35.03125,34.84375,35.15625,35.375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106702,ci_top_neurons,actual_ci_D_same_prompt,0.34375,-0.0625,0.40625,Yes,No,True,True,35.34375,35.0,35.21875,35.28125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,106703,ci_top_neurons,actual_ci_D_same_prompt,1.15625,0.21875,0.9375,Yes,Yes,False,False,36.96875,35.8125,36.46875,36.25,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100034,random_neurons_0,actual_ci_D_same_prompt,0.5625,0.5625,0.0,Yes,Yes,False,False,36.40625,35.84375,36.40625,35.84375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100185,random_neurons_0,actual_ci_D_same_prompt,0.53125,0.53125,0.0,Yes,Yes,False,False,33.8125,33.28125,33.8125,33.28125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100206,random_neurons_0,actual_ci_D_same_prompt,0.5,0.5,0.0,Yes,Yes,False,False,35.3125,34.8125,35.3125,34.8125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100394,random_neurons_0,actual_ci_D_same_prompt,1.1875,1.1875,0.0,Yes,Yes,False,False,36.5625,35.375,36.5625,35.375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100459,random_neurons_0,actual_ci_D_same_prompt,0.53125,0.53125,0.0,Yes,Yes,False,False,36.65625,36.125,36.65625,36.125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100505,random_neurons_0,actual_ci_D_same_prompt,0.5,0.46875,0.03125,Yes,Yes,False,False,35.5625,35.0625,35.53125,35.0625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100747,random_neurons_0,actual_ci_D_same_prompt,0.15625,0.15625,0.0,Yes,Yes,False,False,35.375,35.21875,35.40625,35.25,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100791,random_neurons_0,actual_ci_D_same_prompt,0.375,0.375,0.0,Yes,Yes,False,False,33.75,33.375,33.75,33.375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100798,random_neurons_0,actual_ci_D_same_prompt,0.96875,0.9375,0.03125,Yes,Yes,False,False,35.9375,34.96875,35.9375,35.0,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100850,random_neurons_0,actual_ci_D_same_prompt,0.4375,0.46875,-0.03125,Yes,Yes,False,False,35.71875,35.28125,35.75,35.28125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100919,random_neurons_0,actual_ci_D_same_prompt,1.46875,1.5,-0.03125,Yes,Yes,False,False,35.46875,34.0,35.46875,33.96875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100921,random_neurons_0,actual_ci_D_same_prompt,0.46875,0.46875,0.0,Yes,Yes,False,False,36.28125,35.8125,36.28125,35.8125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100927,random_neurons_0,actual_ci_D_same_prompt,0.21875,0.21875,0.0,Yes,Yes,False,False,34.75,34.53125,34.75,34.53125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,100962,random_neurons_0,actual_ci_D_same_prompt,0.8125,0.8125,0.0,Yes,Yes,False,False,35.25,34.4375,35.25,34.4375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101109,random_neurons_0,actual_ci_D_same_prompt,0.59375,0.625,-0.03125,Yes,Yes,False,False,36.59375,36.0,36.59375,35.96875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101157,random_neurons_0,actual_ci_D_same_prompt,0.65625,0.65625,0.0,Yes,Yes,False,False,35.40625,34.75,35.40625,34.75,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101397,random_neurons_0,actual_ci_D_same_prompt,0.5625,0.5625,0.0,Yes,Yes,False,False,35.125,34.5625,35.125,34.5625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101521,random_neurons_0,actual_ci_D_same_prompt,0.5,0.53125,-0.03125,Yes,Yes,False,False,35.625,35.125,35.65625,35.125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101559,random_neurons_0,actual_ci_D_same_prompt,0.6875,0.6875,0.0,Yes,Yes,False,False,33.78125,33.09375,33.78125,33.09375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101582,random_neurons_0,actual_ci_D_same_prompt,0.1875,0.15625,0.03125,Yes,Yes,False,False,35.71875,35.53125,35.71875,35.5625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101660,random_neurons_0,actual_ci_D_same_prompt,1.3125,1.34375,-0.03125,Yes,Yes,False,False,37.0,35.6875,37.0625,35.71875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101678,random_neurons_0,actual_ci_D_same_prompt,0.53125,0.5625,-0.03125,Yes,Yes,False,False,35.09375,34.5625,35.125,34.5625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101979,random_neurons_0,actual_ci_D_same_prompt,1.71875,1.75,-0.03125,Yes,Yes,False,False,34.4375,32.71875,34.46875,32.71875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,101985,random_neurons_0,actual_ci_D_same_prompt,0.1875,0.1875,0.0,Yes,Yes,False,False,34.25,34.0625,34.25,34.0625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102112,random_neurons_0,actual_ci_D_same_prompt,0.5625,0.5625,0.0,Yes,Yes,False,False,35.96875,35.40625,35.96875,35.40625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102183,random_neurons_0,actual_ci_D_same_prompt,0.3125,0.34375,-0.03125,Yes,Yes,False,False,33.75,33.4375,33.78125,33.4375,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102187,random_neurons_0,actual_ci_D_same_prompt,1.34375,1.375,-0.03125,Yes,Yes,False,False,34.8125,33.46875,34.84375,33.46875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102242,random_neurons_0,actual_ci_D_same_prompt,0.0625,0.0625,0.0,Yes,Yes,False,False,34.59375,34.53125,34.625,34.5625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102269,random_neurons_0,actual_ci_D_same_prompt,0.8125,0.8125,0.0,Yes,Yes,False,False,36.0,35.1875,36.03125,35.21875,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102285,random_neurons_0,actual_ci_D_same_prompt,1.0625,1.09375,-0.03125,Yes,Yes,False,False,36.3125,35.25,36.34375,35.25,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102334,random_neurons_0,actual_ci_D_same_prompt,1.65625,1.65625,0.0,Yes,Yes,False,False,38.1875,36.53125,38.1875,36.53125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102393,random_neurons_0,actual_ci_D_same_prompt,0.15625,0.15625,0.0,Yes,Yes,False,False,34.3125,34.15625,34.3125,34.15625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102470,random_neurons_0,actual_ci_D_same_prompt,3.21875,3.1875,0.03125,Yes,Yes,False,False,36.34375,33.125,36.34375,33.15625,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102559,random_neurons_0,actual_ci_D_same_prompt,1.28125,1.28125,0.0,Yes,Yes,False,False,35.09375,33.8125,35.09375,33.8125,5,100
global_k100_random0,global_multilayer_ci_top,multi,100,1.0,102596,random_neurons_0,actual_ci_D_same_prompt,0.15625,0.1875,-0.03125,Yes,Yes,False,False,35.25,35.09375,35.28125,35.09375,5,100
