selection_name,layer,k,alpha,scenario_id,control_type,selection_source,delta_source,intervention,normal_margin,patched_margin,delta_toward_no,normal_decision,patched_decision,yes_to_no_flip,patched_no,normal_yes_logit,normal_no_logit,patched_yes_logit,patched_no_logit,num_layers_patched,num_neurons_patched
layerwise_top_delta_steer,20,50,0.25,101678,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.21875,0.75,Yes,No,True,True,35.09375,34.5625,34.3125,34.53125,1,50
layerwise_top_delta_steer,20,50,0.25,101979,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.71875,0.8125,0.90625,Yes,Yes,False,False,34.4375,32.71875,33.65625,32.84375,1,50
layerwise_top_delta_steer,20,50,0.25,101985,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.625,0.8125,Yes,No,True,True,34.25,34.0625,33.4375,34.0625,1,50
layerwise_top_delta_steer,20,50,0.25,102112,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.21875,0.78125,Yes,No,True,True,35.96875,35.40625,35.09375,35.3125,1,50
layerwise_top_delta_steer,20,50,0.25,102183,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.3125,-0.40625,0.71875,Yes,No,True,True,33.75,33.4375,33.03125,33.4375,1,50
layerwise_top_delta_steer,20,50,0.25,102187,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.34375,0.4375,0.90625,Yes,Yes,False,False,34.8125,33.46875,34.03125,33.59375,1,50
layerwise_top_delta_steer,20,50,0.25,102242,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.0625,-0.75,0.8125,Yes,No,True,True,34.59375,34.53125,33.8125,34.5625,1,50
layerwise_top_delta_steer,20,50,0.25,102269,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.8125,-0.125,0.9375,Yes,No,True,True,36.0,35.1875,35.125,35.25,1,50
layerwise_top_delta_steer,20,50,0.25,102285,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.0625,0.125,0.9375,Yes,Yes,False,False,36.3125,35.25,35.46875,35.34375,1,50
layerwise_top_delta_steer,20,50,0.25,102334,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.65625,0.5625,1.09375,Yes,Yes,False,False,38.1875,36.53125,37.25,36.6875,1,50
layerwise_top_delta_steer,20,50,0.25,102393,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.15625,-0.53125,0.6875,Yes,No,True,True,34.3125,34.15625,33.59375,34.125,1,50
layerwise_top_delta_steer,20,50,0.25,102470,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,3.21875,2.0625,1.15625,Yes,Yes,False,False,36.34375,33.125,35.5,33.4375,1,50
layerwise_top_delta_steer,20,50,0.25,102559,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.28125,0.375,0.90625,Yes,Yes,False,False,35.09375,33.8125,34.3125,33.9375,1,50
layerwise_top_delta_steer,20,50,0.25,102596,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.15625,-0.5,0.65625,Yes,No,True,True,35.25,35.09375,34.53125,35.03125,1,50
layerwise_top_delta_steer,20,50,0.25,102600,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.28125,0.40625,0.875,Yes,Yes,False,False,35.84375,34.5625,35.03125,34.625,1,50
layerwise_top_delta_steer,20,50,0.25,102646,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.59375,0.6875,0.90625,Yes,Yes,False,False,36.59375,35.0,35.8125,35.125,1,50
layerwise_top_delta_steer,20,50,0.25,102648,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,2.65625,1.65625,1.0,Yes,Yes,False,False,37.9375,35.28125,37.125,35.46875,1,50
layerwise_top_delta_steer,20,50,0.25,102663,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.59375,0.65625,0.9375,Yes,Yes,False,False,36.53125,34.9375,35.625,34.96875,1,50
layerwise_top_delta_steer,20,50,0.25,102704,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.0625,-0.625,0.6875,Yes,No,True,True,35.4375,35.375,34.6875,35.3125,1,50
layerwise_top_delta_steer,20,50,0.25,102734,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.5,0.625,0.875,Yes,Yes,False,False,37.125,35.625,36.3125,35.6875,1,50
layerwise_top_delta_steer,20,50,0.25,102761,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.59375,-0.21875,0.8125,Yes,No,True,True,34.84375,34.25,34.09375,34.3125,1,50
layerwise_top_delta_steer,20,50,0.25,102770,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.3125,0.84375,Yes,No,True,True,34.96875,34.4375,34.1875,34.5,1,50
layerwise_top_delta_steer,20,50,0.25,102782,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.53125,0.71875,Yes,No,True,True,34.03125,33.84375,33.3125,33.84375,1,50
layerwise_top_delta_steer,20,50,0.25,102833,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.25,0.78125,Yes,No,True,True,36.15625,35.625,35.3125,35.5625,1,50
layerwise_top_delta_steer,20,50,0.25,102946,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.75,-0.03125,0.78125,Yes,No,True,True,35.09375,34.34375,34.34375,34.375,1,50
layerwise_top_delta_steer,20,50,0.25,102969,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.4375,-0.34375,0.78125,Yes,No,True,True,34.15625,33.71875,33.40625,33.75,1,50
layerwise_top_delta_steer,20,50,0.25,103124,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.3125,0.84375,Yes,No,True,True,33.96875,33.4375,33.21875,33.53125,1,50
layerwise_top_delta_steer,20,50,0.25,103156,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.28125,0.4375,0.84375,Yes,Yes,False,False,35.4375,34.15625,34.625,34.1875,1,50
layerwise_top_delta_steer,20,50,0.25,103239,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.375,-0.40625,0.78125,Yes,No,True,True,34.53125,34.15625,33.78125,34.1875,1,50
layerwise_top_delta_steer,20,50,0.25,103354,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.25,-0.46875,0.71875,Yes,No,True,True,35.84375,35.59375,35.0625,35.53125,1,50
layerwise_top_delta_steer,20,50,0.25,103377,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.90625,0.09375,0.8125,Yes,Yes,False,False,35.84375,34.9375,35.0,34.90625,1,50
layerwise_top_delta_steer,20,50,0.25,103382,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.375,-0.3125,0.6875,Yes,No,True,True,36.0,35.625,35.25,35.5625,1,50
layerwise_top_delta_steer,20,50,0.25,103470,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.875,0.03125,0.84375,Yes,Yes,False,False,34.59375,33.71875,33.8125,33.78125,1,50
layerwise_top_delta_steer,20,50,0.25,103582,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.46875,0.5625,0.90625,Yes,Yes,False,False,37.03125,35.5625,36.15625,35.59375,1,50
layerwise_top_delta_steer,20,50,0.25,103628,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.625,-0.125,0.75,Yes,No,True,True,35.0625,34.4375,34.3125,34.4375,1,50
layerwise_top_delta_steer,20,50,0.25,103671,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.375,-0.375,0.75,Yes,No,True,True,34.71875,34.34375,34.0,34.375,1,50
layerwise_top_delta_steer,20,50,0.25,103672,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.4375,0.53125,0.90625,Yes,Yes,False,False,36.59375,35.15625,35.75,35.21875,1,50
layerwise_top_delta_steer,20,50,0.25,103691,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.28125,-0.46875,0.75,Yes,No,True,True,34.9375,34.65625,34.15625,34.625,1,50
layerwise_top_delta_steer,20,50,0.25,103766,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.78125,-0.09375,0.875,Yes,No,True,True,35.1875,34.40625,34.375,34.46875,1,50
layerwise_top_delta_steer,20,50,0.25,103792,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.25,-0.5,0.75,Yes,No,True,True,35.1875,34.9375,34.375,34.875,1,50
layerwise_top_delta_steer,20,50,0.25,103847,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.84375,-0.0625,0.90625,Yes,No,True,True,34.875,34.03125,34.0625,34.125,1,50
layerwise_top_delta_steer,20,50,0.25,103920,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,2.9375,1.9375,1.0,Yes,Yes,False,False,38.4375,35.5,37.59375,35.65625,1,50
layerwise_top_delta_steer,20,50,0.25,103971,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.1875,0.84375,Yes,No,True,True,34.96875,34.3125,34.1875,34.375,1,50
layerwise_top_delta_steer,20,50,0.25,103998,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.5625,0.65625,0.90625,Yes,Yes,False,False,36.1875,34.625,35.375,34.71875,1,50
layerwise_top_delta_steer,20,50,0.25,104043,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.6875,-0.125,0.8125,Yes,No,True,True,35.4375,34.75,34.625,34.75,1,50
layerwise_top_delta_steer,20,50,0.25,104083,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.59375,0.78125,Yes,No,True,True,33.9375,33.75,33.15625,33.75,1,50
layerwise_top_delta_steer,20,50,0.25,104114,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.6875,-0.1875,0.875,Yes,No,True,True,35.25,34.5625,34.4375,34.625,1,50
layerwise_top_delta_steer,20,50,0.25,104217,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.3125,-0.46875,0.78125,Yes,No,True,True,33.96875,33.65625,33.21875,33.6875,1,50
layerwise_top_delta_steer,20,50,0.25,104248,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.21875,0.71875,Yes,No,True,True,34.96875,34.46875,34.21875,34.4375,1,50
layerwise_top_delta_steer,20,50,0.25,104384,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.21875,0.875,Yes,No,True,True,36.09375,35.4375,35.21875,35.4375,1,50
layerwise_top_delta_steer,20,50,0.25,104463,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.40625,0.59375,0.8125,Yes,Yes,False,False,36.375,34.96875,35.53125,34.9375,1,50
layerwise_top_delta_steer,20,50,0.25,104514,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.1875,0.375,0.8125,Yes,Yes,False,False,34.375,33.1875,33.625,33.25,1,50
layerwise_top_delta_steer,20,50,0.25,104537,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.09375,0.75,Yes,No,True,True,35.03125,34.375,34.21875,34.3125,1,50
layerwise_top_delta_steer,20,50,0.25,104606,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.0,0.21875,0.78125,Yes,Yes,False,False,35.375,34.375,34.59375,34.375,1,50
layerwise_top_delta_steer,20,50,0.25,104688,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.3125,0.53125,0.78125,Yes,Yes,False,False,35.75,34.4375,34.96875,34.4375,1,50
layerwise_top_delta_steer,20,50,0.25,104689,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.75,0.0,0.75,Yes,No,True,True,34.40625,33.65625,33.625,33.625,1,50
layerwise_top_delta_steer,20,50,0.25,104828,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.34375,-0.40625,0.75,Yes,No,True,True,34.21875,33.875,33.46875,33.875,1,50
layerwise_top_delta_steer,20,50,0.25,104957,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.1875,0.46875,0.71875,Yes,Yes,False,False,35.9375,34.75,35.21875,34.75,1,50
layerwise_top_delta_steer,20,50,0.25,105160,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.25,-0.40625,0.65625,Yes,No,True,True,35.75,35.5,35.0,35.40625,1,50
layerwise_top_delta_steer,20,50,0.25,105315,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.53125,0.71875,Yes,No,True,True,33.875,33.6875,33.125,33.65625,1,50
layerwise_top_delta_steer,20,50,0.25,105478,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.0625,-0.65625,0.71875,Yes,No,True,True,34.40625,34.34375,33.65625,34.3125,1,50
layerwise_top_delta_steer,20,50,0.25,105569,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.15625,-0.5,0.65625,Yes,No,True,True,33.34375,33.1875,32.65625,33.15625,1,50
layerwise_top_delta_steer,20,50,0.25,105659,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.53125,0.71875,Yes,No,True,True,34.6875,34.5,33.96875,34.5,1,50
layerwise_top_delta_steer,20,50,0.25,105724,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.75,-0.0625,0.8125,Yes,No,True,True,34.25,33.5,33.46875,33.53125,1,50
layerwise_top_delta_steer,20,50,0.25,105789,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.46875,-0.28125,0.75,Yes,No,True,True,34.9375,34.46875,34.1875,34.46875,1,50
layerwise_top_delta_steer,20,50,0.25,105796,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.09375,0.34375,0.75,Yes,Yes,False,False,36.25,35.15625,35.46875,35.125,1,50
layerwise_top_delta_steer,20,50,0.25,105798,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.09375,0.75,Yes,No,True,True,33.875,33.21875,33.15625,33.25,1,50
layerwise_top_delta_steer,20,50,0.25,105953,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.71875,-0.09375,0.8125,Yes,No,True,True,34.15625,33.4375,33.375,33.46875,1,50
layerwise_top_delta_steer,20,50,0.25,106145,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.28125,-0.5,0.78125,Yes,No,True,True,34.21875,33.9375,33.46875,33.96875,1,50
layerwise_top_delta_steer,20,50,0.25,106278,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.0625,0.3125,0.75,Yes,Yes,False,False,36.6875,35.625,35.84375,35.53125,1,50
layerwise_top_delta_steer,20,50,0.25,106314,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.4375,-0.25,0.6875,Yes,No,True,True,34.6875,34.25,33.9375,34.1875,1,50
layerwise_top_delta_steer,20,50,0.25,106566,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.53125,0.71875,Yes,No,True,True,35.03125,34.84375,34.28125,34.8125,1,50
layerwise_top_delta_steer,20,50,0.25,106702,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.34375,-0.21875,0.5625,Yes,No,True,True,35.34375,35.0,34.59375,34.8125,1,50
layerwise_top_delta_steer,20,50,0.25,106703,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.15625,0.40625,0.75,Yes,Yes,False,False,36.96875,35.8125,36.03125,35.625,1,50
layerwise_top_delta_steer,20,50,0.5,100034,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.65625,1.21875,Yes,No,True,True,36.40625,35.84375,34.9375,35.59375,1,50
layerwise_top_delta_steer,20,50,0.5,100185,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.90625,1.4375,Yes,No,True,True,33.8125,33.28125,32.375,33.28125,1,50
layerwise_top_delta_steer,20,50,0.5,100206,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.84375,1.34375,Yes,No,True,True,35.3125,34.8125,33.8125,34.65625,1,50
layerwise_top_delta_steer,20,50,0.5,100394,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.1875,-0.125,1.3125,Yes,No,True,True,36.5625,35.375,35.0,35.125,1,50
layerwise_top_delta_steer,20,50,0.5,100459,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.9375,1.46875,Yes,No,True,True,36.65625,36.125,35.0625,36.0,1,50
layerwise_top_delta_steer,20,50,0.5,100505,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.90625,1.40625,Yes,No,True,True,35.5625,35.0625,34.03125,34.9375,1,50
layerwise_top_delta_steer,20,50,0.5,100747,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.15625,-1.03125,1.1875,Yes,No,True,True,35.375,35.21875,33.875,34.90625,1,50
layerwise_top_delta_steer,20,50,0.5,100791,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.375,-1.09375,1.46875,Yes,No,True,True,33.75,33.375,32.28125,33.375,1,50
layerwise_top_delta_steer,20,50,0.5,100798,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.96875,-0.5625,1.53125,Yes,No,True,True,35.9375,34.96875,34.375,34.9375,1,50
layerwise_top_delta_steer,20,50,0.5,100850,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.4375,-0.96875,1.40625,Yes,No,True,True,35.71875,35.28125,34.125,35.09375,1,50
layerwise_top_delta_steer,20,50,0.5,100919,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.46875,-0.0625,1.53125,Yes,No,True,True,35.46875,34.0,34.0,34.0625,1,50
layerwise_top_delta_steer,20,50,0.5,100921,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.46875,-0.875,1.34375,Yes,No,True,True,36.28125,35.8125,34.75,35.625,1,50
layerwise_top_delta_steer,20,50,0.5,100927,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.21875,-1.09375,1.3125,Yes,No,True,True,34.75,34.53125,33.3125,34.40625,1,50
layerwise_top_delta_steer,20,50,0.5,100962,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.8125,-0.5625,1.375,Yes,No,True,True,35.25,34.4375,33.78125,34.34375,1,50
layerwise_top_delta_steer,20,50,0.5,101109,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.59375,-0.75,1.34375,Yes,No,True,True,36.59375,36.0,34.96875,35.71875,1,50
layerwise_top_delta_steer,20,50,0.5,101157,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.78125,1.4375,Yes,No,True,True,35.40625,34.75,33.875,34.65625,1,50
layerwise_top_delta_steer,20,50,0.5,101397,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.78125,1.34375,Yes,No,True,True,35.125,34.5625,33.65625,34.4375,1,50
layerwise_top_delta_steer,20,50,0.5,101521,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.875,1.375,Yes,No,True,True,35.625,35.125,34.09375,34.96875,1,50
layerwise_top_delta_steer,20,50,0.5,101559,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.6875,-0.625,1.3125,Yes,No,True,True,33.78125,33.09375,32.3125,32.9375,1,50
layerwise_top_delta_steer,20,50,0.5,101582,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-1.25,1.4375,Yes,No,True,True,35.71875,35.53125,34.1875,35.4375,1,50
layerwise_top_delta_steer,20,50,0.5,101660,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.3125,-0.75,2.0625,Yes,No,True,True,37.0,35.6875,35.15625,35.90625,1,50
layerwise_top_delta_steer,20,50,0.5,101678,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.9375,1.46875,Yes,No,True,True,35.09375,34.5625,33.5625,34.5,1,50
layerwise_top_delta_steer,20,50,0.5,101979,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.71875,0.03125,1.6875,Yes,Yes,False,False,34.4375,32.71875,32.90625,32.875,1,50
layerwise_top_delta_steer,20,50,0.5,101985,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-1.34375,1.53125,Yes,No,True,True,34.25,34.0625,32.71875,34.0625,1,50
layerwise_top_delta_steer,20,50,0.5,102112,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.84375,1.40625,Yes,No,True,True,35.96875,35.40625,34.375,35.21875,1,50
layerwise_top_delta_steer,20,50,0.5,102183,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.3125,-1.0625,1.375,Yes,No,True,True,33.75,33.4375,32.3125,33.375,1,50
layerwise_top_delta_steer,20,50,0.5,102187,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.34375,-0.40625,1.75,Yes,No,True,True,34.8125,33.46875,33.25,33.65625,1,50
layerwise_top_delta_steer,20,50,0.5,102242,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.0625,-1.4375,1.5,Yes,No,True,True,34.59375,34.53125,33.0625,34.5,1,50
layerwise_top_delta_steer,20,50,0.5,102269,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.8125,-0.90625,1.71875,Yes,No,True,True,36.0,35.1875,34.3125,35.21875,1,50
layerwise_top_delta_steer,20,50,0.5,102285,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.0625,-0.625,1.6875,Yes,No,True,True,36.3125,35.25,34.65625,35.28125,1,50
