experiment,pair,source_model,receiver_model,scenario_id,source_version,target_version,site,layer,target_expected,original_yes_logit,original_no_logit,original_margin,original_decision,patched_yes_logit,patched_no_logit,patched_margin,patched_decision,effect,destructive_effect,rescue_effect,flipped,destroyed_no,rescued_yes,patched_is_yes,patched_is_no
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,1,No,37.1875,37.28125,-0.09375,No,37.15625,37.25,-0.09375,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,2,No,37.1875,37.28125,-0.09375,No,37.15625,37.25,-0.09375,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,3,No,37.1875,37.28125,-0.09375,No,37.15625,37.28125,-0.125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,4,No,37.1875,37.28125,-0.09375,No,37.15625,37.28125,-0.125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,5,No,37.1875,37.28125,-0.09375,No,37.15625,37.25,-0.09375,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,6,No,37.1875,37.28125,-0.09375,No,37.15625,37.25,-0.09375,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,7,No,37.1875,37.28125,-0.09375,No,37.15625,37.21875,-0.0625,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,8,No,37.1875,37.28125,-0.09375,No,37.125,37.1875,-0.0625,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,9,No,37.1875,37.28125,-0.09375,No,37.0625,37.125,-0.0625,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,10,No,37.1875,37.28125,-0.09375,No,37.0625,37.09375,-0.03125,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,11,No,37.1875,37.28125,-0.09375,No,37.0,37.03125,-0.03125,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,12,No,37.1875,37.28125,-0.09375,No,37.03125,37.03125,0.0,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,13,No,37.1875,37.28125,-0.09375,No,37.03125,37.0625,-0.03125,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,14,No,37.1875,37.28125,-0.09375,No,37.0,37.03125,-0.03125,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,15,No,37.1875,37.28125,-0.09375,No,37.0,37.0,0.0,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,16,No,37.1875,37.28125,-0.09375,No,36.96875,36.96875,0.0,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,17,No,37.1875,37.28125,-0.09375,No,37.0,36.96875,0.03125,Yes,0.125,0.125,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,18,No,37.1875,37.28125,-0.09375,No,37.71875,36.9375,0.78125,Yes,0.875,0.875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,19,No,37.1875,37.28125,-0.09375,No,37.84375,36.75,1.09375,Yes,1.1875,1.1875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,20,No,37.1875,37.28125,-0.09375,No,37.40625,36.4375,0.96875,Yes,1.0625,1.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,21,No,37.1875,37.28125,-0.09375,No,37.40625,36.4375,0.96875,Yes,1.0625,1.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,22,No,37.1875,37.28125,-0.09375,No,37.40625,36.4375,0.96875,Yes,1.0625,1.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,23,No,37.1875,37.28125,-0.09375,No,37.40625,36.4375,0.96875,Yes,1.0625,1.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,24,No,37.1875,37.28125,-0.09375,No,37.34375,36.375,0.96875,Yes,1.0625,1.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,25,No,37.1875,37.28125,-0.09375,No,37.375,36.375,1.0,Yes,1.09375,1.09375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,26,No,37.1875,37.28125,-0.09375,No,37.375,36.375,1.0,Yes,1.09375,1.09375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,27,No,37.1875,37.28125,-0.09375,No,32.96875,33.9375,-0.96875,No,-0.875,-0.875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,0,No,36.96875,36.96875,0.0,No,36.96875,37.0,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,1,No,36.96875,36.96875,0.0,No,36.9375,36.96875,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,2,No,36.96875,36.96875,0.0,No,36.9375,36.96875,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,3,No,36.96875,36.96875,0.0,No,36.90625,36.9375,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,4,No,36.96875,36.96875,0.0,No,36.9375,36.96875,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,5,No,36.96875,36.96875,0.0,No,36.9375,37.0,-0.0625,No,-0.0625,-0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,6,No,36.96875,36.96875,0.0,No,36.90625,36.96875,-0.0625,No,-0.0625,-0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,7,No,36.96875,36.96875,0.0,No,36.875,36.90625,-0.03125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,8,No,36.96875,36.96875,0.0,No,36.90625,36.90625,0.0,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,9,No,36.96875,36.96875,0.0,No,36.8125,36.8125,0.0,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,10,No,36.96875,36.96875,0.0,No,36.8125,36.75,0.0625,Yes,0.0625,0.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,11,No,36.96875,36.96875,0.0,No,36.8125,36.71875,0.09375,Yes,0.09375,0.09375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,12,No,36.96875,36.96875,0.0,No,36.78125,36.71875,0.0625,Yes,0.0625,0.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,13,No,36.96875,36.96875,0.0,No,36.78125,36.71875,0.0625,Yes,0.0625,0.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,14,No,36.96875,36.96875,0.0,No,36.65625,36.65625,0.0,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,15,No,36.96875,36.96875,0.0,No,36.71875,36.6875,0.03125,Yes,0.03125,0.03125,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,16,No,36.96875,36.96875,0.0,No,36.6875,36.625,0.0625,Yes,0.0625,0.0625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,17,No,36.96875,36.96875,0.0,No,36.71875,36.59375,0.125,Yes,0.125,0.125,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,18,No,36.96875,36.96875,0.0,No,36.96875,36.03125,0.9375,Yes,0.9375,0.9375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,19,No,36.96875,36.96875,0.0,No,36.96875,35.8125,1.15625,Yes,1.15625,1.15625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,20,No,36.96875,36.96875,0.0,No,36.28125,35.625,0.65625,Yes,0.65625,0.65625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,21,No,36.96875,36.96875,0.0,No,36.21875,35.59375,0.625,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,22,No,36.96875,36.96875,0.0,No,36.25,35.625,0.625,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,23,No,36.96875,36.96875,0.0,No,36.21875,35.59375,0.625,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,24,No,36.96875,36.96875,0.0,No,36.21875,35.5625,0.65625,Yes,0.65625,0.65625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,25,No,36.96875,36.96875,0.0,No,36.1875,35.5625,0.625,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,26,No,36.96875,36.96875,0.0,No,36.1875,35.5625,0.625,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100086,D,D,final,27,No,36.96875,36.96875,0.0,No,31.9375,33.09375,-1.15625,No,-1.15625,-1.15625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,0,No,34.0,34.65625,-0.65625,No,33.96875,34.65625,-0.6875,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,1,No,34.0,34.65625,-0.65625,No,33.96875,34.65625,-0.6875,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,2,No,34.0,34.65625,-0.65625,No,33.96875,34.625,-0.65625,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,3,No,34.0,34.65625,-0.65625,No,33.96875,34.625,-0.65625,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,4,No,34.0,34.65625,-0.65625,No,34.0,34.6875,-0.6875,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,5,No,34.0,34.65625,-0.65625,No,34.03125,34.6875,-0.65625,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,6,No,34.0,34.65625,-0.65625,No,34.03125,34.6875,-0.65625,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,7,No,34.0,34.65625,-0.65625,No,34.0,34.65625,-0.65625,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,8,No,34.0,34.65625,-0.65625,No,34.0,34.625,-0.625,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,9,No,34.0,34.65625,-0.65625,No,34.0,34.59375,-0.59375,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,10,No,34.0,34.65625,-0.65625,No,34.0,34.5625,-0.5625,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,11,No,34.0,34.65625,-0.65625,No,33.96875,34.53125,-0.5625,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,12,No,34.0,34.65625,-0.65625,No,33.96875,34.53125,-0.5625,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,13,No,34.0,34.65625,-0.65625,No,33.9375,34.5,-0.5625,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,14,No,34.0,34.65625,-0.65625,No,33.90625,34.5,-0.59375,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,15,No,34.0,34.65625,-0.65625,No,33.90625,34.46875,-0.5625,No,0.09375,0.09375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,16,No,34.0,34.65625,-0.65625,No,33.90625,34.4375,-0.53125,No,0.125,0.125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,17,No,34.0,34.65625,-0.65625,No,33.9375,34.4375,-0.5,No,0.15625,0.15625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,18,No,34.0,34.65625,-0.65625,No,34.03125,34.03125,0.0,No,0.65625,0.65625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,19,No,34.0,34.65625,-0.65625,No,34.0625,33.78125,0.28125,Yes,0.9375,0.9375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,20,No,34.0,34.65625,-0.65625,No,33.875,33.375,0.5,Yes,1.15625,1.15625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,21,No,34.0,34.65625,-0.65625,No,33.875,33.34375,0.53125,Yes,1.1875,1.1875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,22,No,34.0,34.65625,-0.65625,No,33.84375,33.34375,0.5,Yes,1.15625,1.15625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,23,No,34.0,34.65625,-0.65625,No,33.84375,33.34375,0.5,Yes,1.15625,1.15625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,24,No,34.0,34.65625,-0.65625,No,33.84375,33.3125,0.53125,Yes,1.1875,1.1875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,25,No,34.0,34.65625,-0.65625,No,33.84375,33.3125,0.53125,Yes,1.1875,1.1875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,26,No,34.0,34.65625,-0.65625,No,33.84375,33.3125,0.53125,Yes,1.1875,1.1875,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100185,D,D,final,27,No,34.0,34.65625,-0.65625,No,30.5625,31.890625,-1.328125,No,-0.671875,-0.671875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,0,No,35.4375,35.6875,-0.25,No,35.40625,35.6875,-0.28125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,1,No,35.4375,35.6875,-0.25,No,35.375,35.65625,-0.28125,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,2,No,35.4375,35.6875,-0.25,No,35.40625,35.65625,-0.25,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,3,No,35.4375,35.6875,-0.25,No,35.375,35.625,-0.25,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,4,No,35.4375,35.6875,-0.25,No,35.40625,35.65625,-0.25,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,5,No,35.4375,35.6875,-0.25,No,35.4375,35.6875,-0.25,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,6,No,35.4375,35.6875,-0.25,No,35.4375,35.65625,-0.21875,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,7,No,35.4375,35.6875,-0.25,No,35.4375,35.625,-0.1875,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,8,No,35.4375,35.6875,-0.25,No,35.4375,35.625,-0.1875,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,9,No,35.4375,35.6875,-0.25,No,35.40625,35.53125,-0.125,No,0.125,0.125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,10,No,35.4375,35.6875,-0.25,No,35.40625,35.5,-0.09375,No,0.15625,0.15625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,11,No,35.4375,35.6875,-0.25,No,35.40625,35.46875,-0.0625,No,0.1875,0.1875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,12,No,35.4375,35.6875,-0.25,No,35.40625,35.46875,-0.0625,No,0.1875,0.1875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,13,No,35.4375,35.6875,-0.25,No,35.40625,35.46875,-0.0625,No,0.1875,0.1875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,14,No,35.4375,35.6875,-0.25,No,35.34375,35.4375,-0.09375,No,0.15625,0.15625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,15,No,35.4375,35.6875,-0.25,No,35.375,35.40625,-0.03125,No,0.21875,0.21875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,16,No,35.4375,35.6875,-0.25,No,35.34375,35.375,-0.03125,No,0.21875,0.21875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,17,No,35.4375,35.6875,-0.25,No,35.34375,35.375,-0.03125,No,0.21875,0.21875,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,18,No,35.4375,35.6875,-0.25,No,35.4375,35.25,0.1875,Yes,0.4375,0.4375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,19,No,35.4375,35.6875,-0.25,No,35.5,35.125,0.375,Yes,0.625,0.625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,20,No,35.4375,35.6875,-0.25,No,35.40625,34.90625,0.5,Yes,0.75,0.75,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100206,D,D,final,21,No,35.4375,35.6875,-0.25,No,35.40625,34.90625,0.5,Yes,0.75,0.75,,True,True,False,True,False
